mes,barco_nombre,especie_principal,zona,n_mareas,captura_ton,ingreso_usd,costo_combustible_usd,eficiencia_media,margen_medio
2025-07,Atlantis,Merluza hubbsi,Zona B - Golfo San Jorge,1,107.9,205286.0,62534.0,1.47,69.5
2025-07,Atlantis,Merluza hubbsi,Zona E - Sur Patagónico,1,146.6,247242.0,72079.0,1.73,70.8
2025-07,Austral Sur,Calamar illex,Zona C - Banco Burdwood,1,230.4,351428.0,117098.0,1.67,66.7
2025-07,Austral Sur,Polaca,Zona E - Sur Patagónico,1,125.0,137963.0,92533.0,1.15,32.9
2025-07,Calamarón,Merluza hubbsi,Zona A - Norte PCA,1,88.6,170875.0,39256.0,1.92,77.0
2025-07,Calamarón,Merluza hubbsi,Zona E - Sur Patagónico,1,245.8,444016.0,78681.0,2.66,82.3
2025-07,Fueguino I,Merluza hubbsi,Zona C - Banco Burdwood,2,398.1,716473.0,234016.0,1.4500000000000002,67.3
2025-07,Fueguino II,Calamar illex,Zona D - Frente Malvinas,1,171.3,248671.0,89689.0,1.62,63.9
2025-07,Fueguino II,Merluza hubbsi,Zona E - Sur Patagónico,1,84.5,156368.0,72458.0,0.99,53.7
2025-07,Madrynero,Calamar illex,Zona E - Sur Patagónico,1,175.2,249067.0,43969.0,3.39,82.3
2025-07,Madrynero,Merluza hubbsi,Zona E - Sur Patagónico,1,145.8,280161.0,46462.0,2.67,83.4
2025-07,Mar del Plata A,Merluza hubbsi,Zona C - Banco Burdwood,1,132.4,221150.0,53834.0,2.09,75.7
2025-07,Mar del Plata A,Merluza hubbsi,Zona D - Frente Malvinas,1,160.5,287428.0,57425.0,2.38,80.0
2025-07,Mar del Plata B,Calamar illex,Zona B - Golfo San Jorge,1,150.0,231033.0,59909.0,2.13,74.1
2025-07,Mar del Plata B,Calamar illex,Zona D - Frente Malvinas,1,165.0,237670.0,38348.0,3.66,83.9
2025-07,Merlusero,Calamar illex,Zona A - Norte PCA,1,234.0,358315.0,61037.0,3.26,83.0
2025-07,Merlusero,Merluza hubbsi,Zona D - Frente Malvinas,1,199.7,353357.0,80174.0,2.12,77.3
2025-07,Norpatagónico,Calamar illex,Zona D - Frente Malvinas,1,275.3,424356.0,77864.0,3.0,81.7
2025-07,Norpatagónico,Merluza hubbsi,Zona E - Sur Patagónico,1,134.7,256697.0,84858.0,1.35,66.9
2025-07,Patagónico I,Langostino patagónico,Zona C - Banco Burdwood,1,106.5,506733.0,77926.0,1.16,84.6
2025-07,Patagónico I,Merluza hubbsi,Zona C - Banco Burdwood,1,121.7,207069.0,46573.0,2.22,77.5
2025-07,Patagónico II,Calamar illex,Zona D - Frente Malvinas,1,171.9,240684.0,78337.0,1.87,67.5
2025-07,Patagónico II,Merluza hubbsi,Zona B - Golfo San Jorge,1,65.2,112539.0,45623.0,1.21,59.5
