longitud_cm,copo_n,sobrecopo_n,total_n,prop_retenida_ajuste,S_L_modelo
10,0,0,0,0.0,0.0202
11,0,0,0,0.0,0.0234
12,0,0,0,0.0,0.0271
13,0,0,0,0.0,0.0314
14,0,0,0,0.0,0.0363
15,0,0,2,0.0,0.0419
16,3,0,6,0.5,0.0483
17,1,0,2,0.5,0.0557
18,0,1,4,0.0,0.0642
19,1,0,6,0.1667,0.0738
20,0,0,2,0.0,0.0847
21,0,0,1,0.0,0.0971
22,0,1,12,0.0,0.111
23,1,4,32,0.0312,0.1267
24,10,3,40,0.25,0.1443
25,11,5,79,0.1392,0.1638
26,15,5,77,0.1948,0.1854
27,24,8,93,0.2581,0.2091
28,33,12,120,0.275,0.235
29,26,5,116,0.2241,0.263
30,35,9,147,0.2381,0.2931
31,55,13,197,0.2792,0.3251
32,102,14,250,0.408,0.3588
33,94,10,226,0.4159,0.394
34,83,10,218,0.3807,0.4303
35,111,6,236,0.4703,0.4674
36,144,10,273,0.5275,0.5049
37,194,5,395,0.4911,0.5423
38,257,10,494,0.5202,0.5792
39,271,13,475,0.5705,0.6153
40,262,3,429,0.6107,0.6501
41,195,3,296,0.6588,0.6834
42,189,3,268,0.7052,0.7149
43,118,1,153,0.7712,0.7445
44,96,2,115,0.8348,0.7719
45,74,1,90,0.8222,0.7973
46,51,0,56,0.9107,0.8204
47,39,0,43,0.907,0.8415
48,33,0,36,0.9167,0.8605
49,28,0,31,0.9032,0.8775
50,21,0,22,0.9545,0.8928
51,27,0,28,0.9643,0.9063
52,18,0,19,0.9474,0.9183
53,14,0,16,0.875,0.9289
54,17,0,17,1.0,0.9381
55,21,0,21,1.0,0.9463
56,16,0,16,1.0,0.9534
57,12,0,12,1.0,0.9597
58,15,0,15,1.0,0.9651
59,9,0,9,1.0,0.9698
60,12,0,12,1.0,0.9739
61,8,0,8,1.0,0.9774
62,14,0,14,1.0,0.9805
63,5,0,5,1.0,0.9832
64,8,0,8,1.0,0.9855
65,9,0,9,1.0,0.9875
66,2,0,2,1.0,0.9892
67,6,0,6,1.0,0.9907
68,2,0,2,1.0,0.992
69,4,0,4,1.0,0.9931
70,3,0,3,1.0,0.9941
