longitud_cm,prop_retenida_observada,S_L_modelo
10,0.0,0.0063
11,0.0,0.0075
12,0.0,0.0091
13,0.0,0.0109
14,0.0,0.0131
15,0.0,0.0157
16,0.0,0.0188
17,0.0,0.0225
18,0.0,0.027
19,0.0,0.0323
20,0.0,0.0386
21,0.0,0.0461
22,0.0417,0.055
23,0.0227,0.0654
24,0.1,0.0777
25,0.0581,0.092
26,0.125,0.1086
27,0.1355,0.1279
28,0.1722,0.15
29,0.1409,0.1751
30,0.2416,0.2034
31,0.2632,0.2351
32,0.2274,0.2699
33,0.2842,0.3079
34,0.3199,0.3486
35,0.4643,0.3917
36,0.4341,0.4365
37,0.4946,0.4824
38,0.525,0.5286
39,0.5043,0.5743
40,0.6348,0.6188
41,0.7436,0.6614
42,0.6935,0.7015
43,0.6964,0.7387
44,0.8649,0.7728
45,0.7714,0.8037
46,0.7143,0.8312
47,0.7273,0.8556
48,0.9583,0.877
49,0.7273,0.8956
50,1.0,0.9117
51,0.875,0.9255
52,0.75,0.9373
53,1.0,0.9473
54,1.0,0.9558
55,1.0,0.963
56,1.0,0.969
57,0.0,0.9741
58,0.6667,0.9784
59,1.0,0.982
60,1.0,0.985
