longitud_cm,copo_retenidos,total,prop_retenida_observada,S_L_modelo
23,0,2,0.0,0.0008
26,0,2,0.0,0.0023
27,0,5,0.0,0.0033
28,0,10,0.0,0.0047
29,0,18,0.0,0.0068
30,0,40,0.0,0.0098
31,0,88,0.0,0.0141
32,2,130,0.0154,0.0202
33,7,143,0.049,0.0289
34,10,170,0.0588,0.0411
35,9,123,0.0732,0.0582
36,21,116,0.181,0.0819
37,25,119,0.2101,0.114
38,22,109,0.2018,0.1565
39,40,130,0.3077,0.2111
40,34,119,0.2857,0.2785
41,42,101,0.4158,0.3576
42,42,86,0.4884,0.4453
43,37,59,0.6271,0.5366
44,48,61,0.7869,0.6254
45,65,77,0.8442,0.7066
46,51,59,0.8644,0.7764
47,72,72,1.0,0.8336
48,64,68,0.9412,0.8784
49,53,57,0.9298,0.9124
50,86,86,1.0,0.9376
51,80,82,0.9756,0.9559
52,69,70,0.9857,0.969
53,75,75,1.0,0.9783
54,66,67,0.9851,0.9849
55,60,60,1.0,0.9894
56,61,61,1.0,0.9927
57,43,43,1.0,0.9949
58,34,34,1.0,0.9965
59,32,32,1.0,0.9975
60,24,24,1.0,0.9983
