longitud_cm,prop_retenida_observada,S_L_modelo
15,1,0.9893
16,0,0.9855
17,1,0.9805
18,0,0.9737
19,0.6667,0.9647
20,1,0.9527
21,0.5,0.937
22,1,0.9164
23,1,0.89
24,0,0.8565
25,0.75,0.8149
26,1,0.7645
27,0.8333,0.7055
28,0.6667,0.6386
29,0.7143,0.5658
30,0.1,0.4901
31,0.6,0.4149
32,0.7083,0.3434
33,0.3571,0.2784
34,0.25,0.2215
35,0.1515,0.1735
36,0.0645,0.1341
37,0.0851,0.1025
38,0.0541,0.0777
39,0.0417,0.0585
40,0.0506,0.0438
41,0,0.0327
42,0.0339,0.0243
43,0,0.0181
44,0.0435,0.0134
45,0,0.0099
46,0,0.0073
47,0,0.0054
48,0,0.004
49,0,0.003
50,0,0.0022
51,0,0.0016
52,0,0.0012
53,0,0.0009
54,0,0.0006
55,0,0.0005
56,0,0.0004
57,0,0.0003
58,0,0.0002
59,0,0.0001
60,0,0.0001
